Jorge Alessandri,Eduardo Frei Montalva,Salvador Allende,Augusto Pinochet,Patricio Aylwin,Eduardo Frei Ruiz-Tagle,Ricardo Lagos,Michelle Bachelet (2006-2010),Sebastián Piñera (2010-2014),Michelle Bachelet (2014-2018),Sebastián Piñera (2018-2022),Gabriel Boric,ID
3,4,2,5,4,3,2,3,3,6,5,5,46
4,3,6,7,3,3,7,2,2,3,3,2,47
5,4,2,4,1,6,2,5,3,3,4,3,48
1,3,5,5,2,3,3,3,4,1,5,2,49
4,3,2,2,4,2,5,2,4,5,4,4,50
4,4,2,6,2,2,3,3,2,3,6,5,51
3,5,2,2,3,3,2,4,4,2,3,2,52
3,5,2,4,4,5,4,2,1,1,4,7,53
3,5,1,5,1,4,6,2,4,7,3,3,54
3,5,2,1,4,3,4,4,2,5,2,4,55
5,4,2,7,3,4,1,4,3,3,1,6,56
2,2,6,5,4,4,2,4,5,3,5,6,57
7,4,6,6,4,1,4,2,2,2,4,2,58
4,2,2,7,3,3,3,3,5,5,4,4,59
2,4,2,7,2,3,3,3,2,6,2,4,60
4,6,5,2,5,5,5,3,3,4,4,5,61
5,4,2,6,3,3,7,6,3,5,4,4,62
4,4,2,2,5,3,3,3,4,7,1,4,63
1,4,2,5,3,2,2,7,2,3,4,7,64
4,4,2,4,3,5,3,7,6,3,3,5,65
4,2,2,1,3,4,2,2,3,4,2,4,66
4,5,4,2,2,4,2,2,4,1,2,7,67
3,2,2,5,3,2,4,4,4,5,4,6,68
5,3,4,1,3,3,4,7,3,6,7,3,69
2,4,2,6,2,2,2,2,3,3,6,4,70
5,5,2,2,7,3,3,7,6,7,4,2,71
4,3,2,7,3,3,6,3,4,4,4,2,72
2,3,2,1,2,6,2,2,7,4,6,3,73
4,5,3,2,1,5,3,3,3,1,4,5,74
7,2,6,3,2,3,3,5,2,7,6,2,75
2,3,5,6,3,3,5,4,2,4,3,4,76
6,4,4,3,2,7,3,2,7,7,5,4,77
4,3,2,5,2,1,2,6,2,7,3,4,78
2,3,6,2,1,5,4,7,3,6,6,4,79
4,3,2,5,1,3,5,7,3,4,3,5,80
2,3,2,6,3,6,6,5,2,4,3,4,81
3,5,2,6,3,5,3,6,2,4,4,4,82
2,2,4,5,2,6,4,3,6,4,4,7,83
3,4,2,6,4,3,2,2,2,4,4,4,84
4,3,2,6,3,2,4,2,6,7,5,5,85
4,2,1,1,3,4,3,4,3,2,5,3,86
1,4,4,4,2,5,5,4,2,3,4,3,87
4,3,2,7,2,2,5,3,2,6,4,5,88
4,5,2,4,1,4,3,4,7,3,5,1,89
2,4,1,6,4,3,6,2,6,2,2,3,90
4,3,5,1,3,7,5,3,3,5,6,2,91
5,3,1,7,4,4,5,4,4,4,4,7,92
3,3,2,2,7,3,3,2,3,7,6,4,93
2,3,1,5,4,3,3,5,2,4,4,6,94
3,4,2,2,2,3,2,6,3,4,5,6,95
4,4,2,6,4,5,4,4,2,2,4,4,96
3,3,2,7,4,4,2,3,4,4,4,7,97
5,4,2,7,3,4,2,2,3,3,4,4,98
3,6,2,6,3,5,3,2,4,5,4,7,99
2,4,2,7,1,4,2,4,3,7,2,4,100
2,4,2,5,4,3,2,4,3,1,4,6,101
4,5,6,7,3,3,3,5,2,4,4,5,102
3,2,2,7,3,3,3,2,3,2,4,6,103
3,5,1,5,4,4,6,3,5,1,1,7,104
2,3,5,4,2,4,2,2,2,6,2,5,105
3,5,4,7,3,3,2,2,7,1,2,5,106
4,7,5,6,3,3,4,6,6,5,3,4,107
4,4,4,5,1,5,3,7,5,5,4,5,108
4,5,5,7,3,2,2,2,4,4,6,1,109
1,1,3,7,3,4,6,3,6,3,5,3,110
2,5,2,7,2,3,6,4,7,3,4,4,111
4,4,2,1,3,4,4,2,3,3,6,6,112
4,5,1,2,3,5,1,3,3,6,1,7,113
4,5,1,7,2,3,2,5,3,7,2,2,114
4,5,3,3,2,3,4,4,2,6,6,4,115
1,4,2,7,3,3,2,3,2,3,3,4,116
1,3,1,7,1,5,2,5,3,4,2,3,117
3,4,4,4,2,4,3,3,1,7,1,4,118
4,4,3,7,4,6,2,7,2,3,6,4,119
3,2,2,3,2,2,3,4,3,6,6,3,120
3,3,6,1,6,5,3,5,3,5,3,3,121
4,4,2,7,3,2,3,2,1,7,4,5,122
4,2,2,7,2,3,1,6,7,7,5,3,123
5,6,6,3,3,3,7,3,3,4,5,7,124
2,4,3,5,4,4,2,4,2,5,3,2,125
5,3,2,6,2,3,2,3,1,4,6,4,126
3,4,2,7,4,4,3,2,3,4,5,2,127
3,1,2,1,2,4,4,3,3,2,3,3,128
3,3,5,4,1,4,2,6,2,2,5,3,129
3,3,2,6,2,4,3,2,4,3,7,2,130
3,3,5,6,7,3,4,4,2,4,6,4,131
3,5,6,3,2,4,3,2,1,2,3,7,132
2,2,2,2,2,3,3,2,2,5,2,3,133
3,3,4,7,4,3,3,3,2,2,5,5,134
3,4,2,1,3,4,4,4,6,3,4,2,135
2,2,2,2,2,3,4,3,7,3,6,6,136
3,4,2,1,1,4,2,3,5,4,3,4,137
4,7,2,2,4,3,4,5,2,5,5,4,138
3,3,2,1,2,2,3,3,1,6,2,2,139
3,2,4,7,5,3,2,2,6,4,1,4,140
2,5,5,5,4,4,2,3,3,6,4,5,141
4,4,5,6,3,3,3,3,3,1,3,4,142
4,4,5,3,6,3,2,6,5,4,1,4,143
4,3,2,7,2,1,1,2,3,6,4,3,144
2,4,4,1,1,6,5,4,6,2,3,3,145
2,3,2,5,3,3,4,5,4,4,2,2,146
3,3,1,3,2,3,4,3,4,4,1,3,147
1,4,7,7,7,4,3,4,3,7,6,4,148
3,2,1,6,3,6,5,7,2,2,1,2,149
4,5,3,1,5,4,3,7,2,4,1,5,150
4,3,2,7,2,3,5,6,2,2,3,4,151
2,3,3,6,2,5,6,6,2,6,6,4,152
4,5,2,2,2,4,4,7,3,5,4,2,153
4,4,4,7,2,4,3,1,3,4,3,6,154
4,2,1,6,3,4,4,3,2,3,1,6,155
4,3,2,1,4,7,4,1,2,2,7,6,156
5,5,1,2,2,4,7,1,5,4,3,2,157
3,1,4,6,2,2,3,3,2,1,5,7,158
4,3,1,2,3,4,3,2,3,2,5,4,159
3,5,1,1,4,3,3,3,1,3,4,6,160
4,4,2,7,2,2,4,4,2,4,5,7,161
2,2,6,2,3,4,3,2,2,7,4,3,162
4,5,2,4,4,3,4,1,6,2,4,6,163
3,1,4,1,4,3,2,7,6,3,4,3,164
3,4,2,5,6,2,1,6,2,2,4,4,165
3,3,2,7,4,2,5,4,4,6,4,3,166
2,4,4,6,3,3,2,4,3,3,3,4,167
5,5,2,6,4,2,7,3,3,3,4,3,168
2,3,2,7,3,2,2,2,2,4,7,7,169
4,2,7,4,1,2,4,6,6,3,5,6,170
3,4,4,5,3,1,6,4,6,2,3,4,171
7,3,2,7,3,2,3,2,7,4,1,7,172
4,2,2,5,3,2,7,4,3,2,4,6,173
3,2,4,4,4,3,7,4,5,5,5,7,174
4,4,6,2,1,3,3,2,2,4,5,4,175
5,1,2,5,4,5,6,5,4,6,6,7,176
3,4,6,2,4,3,2,7,1,2,1,4,177
4,3,2,7,2,2,3,3,3,2,7,4,178
4,5,6,4,3,3,3,4,3,3,3,4,179
4,2,2,1,3,3,2,2,2,2,5,4,180
4,4,6,3,2,2,7,7,6,4,4,3,181
3,2,2,7,4,6,5,4,2,2,3,4,182
1,4,2,7,3,3,2,4,2,3,7,4,183
4,4,2,1,2,2,2,3,6,4,3,3,184
2,2,4,1,4,3,4,5,3,7,7,5,185
3,2,2,7,3,5,2,5,2,6,4,2,186
1,2,2,7,2,3,2,4,7,3,4,5,187
3,3,2,7,4,3,5,3,1,4,4,3,188
3,2,5,6,1,3,7,5,4,2,3,3,189
3,3,2,5,4,2,3,4,5,7,4,4,190
4,4,1,7,1,2,3,7,4,7,5,4,191
3,4,6,6,2,4,4,7,4,5,7,5,192
2,2,1,7,3,3,4,5,3,2,5,2,193
3,4,1,5,2,4,1,3,7,6,6,2,194
4,3,4,6,4,3,4,7,2,4,6,3,195
3,3,6,5,1,2,6,3,2,7,5,7,196
3,2,2,3,7,3,4,7,2,6,3,5,197
3,4,2,1,3,3,3,7,2,4,5,2,198
2,6,4,4,2,3,6,4,4,3,1,4,199
3,2,2,3,2,3,2,7,2,2,7,4,200
3,4,2,2,3,3,4,7,5,6,5,5,201
1,4,7,7,3,3,5,3,3,4,3,3,202
3,1,1,1,3,7,3,3,3,7,5,6,203
4,3,2,7,3,3,5,4,4,1,3,7,204
2,4,2,1,5,3,3,4,3,4,6,2,205
4,3,3,4,4,3,3,1,4,3,6,2,206
4,2,2,3,3,5,1,2,7,4,3,3,207
2,3,5,1,1,3,4,2,2,2,4,3,208
3,4,2,6,1,4,3,4,2,5,3,7,209
3,2,2,4,3,5,4,3,7,7,3,4,210
1,3,2,7,3,5,3,4,3,4,4,5,211
3,1,4,7,4,2,2,2,5,6,3,3,212
2,3,2,5,1,2,3,3,2,4,1,6,213
3,4,2,7,2,2,5,4,3,7,4,5,214
3,3,1,1,3,3,6,5,3,5,6,3,215
4,3,2,1,1,3,1,6,3,4,6,7,216
3,4,6,4,4,6,2,4,2,5,5,4,217
5,4,3,1,2,4,3,2,2,2,3,2,218
3,1,4,7,3,1,3,2,4,3,6,2,219
3,2,2,3,3,2,1,3,4,7,1,3,220
3,4,1,3,2,5,6,1,3,1,1,4,221
4,1,2,6,2,4,4,3,5,2,6,3,222
4,2,2,6,4,4,4,2,5,3,7,7,223
2,3,5,5,2,3,6,3,4,5,5,6,224
3,3,6,6,1,2,3,3,4,4,4,3,225
1,3,1,7,5,4,3,3,1,4,3,7,226
6,3,2,3,3,3,4,7,3,4,5,3,227
4,5,2,4,6,4,4,2,7,4,1,5,228
4,4,1,6,4,2,1,4,2,4,3,2,229
2,3,1,5,2,3,7,3,4,6,3,3,230
5,1,2,6,3,3,3,7,3,6,4,1,231
4,1,2,2,3,3,4,4,2,2,4,1,232
3,2,6,7,4,4,4,2,7,4,5,4,233
1,1,2,1,3,4,2,5,4,7,3,6,234
5,1,6,3,3,3,2,6,5,5,2,4,235
1,3,2,3,3,2,5,4,1,7,6,5,236
1,4,2,7,5,4,1,4,2,5,6,5,237
1,4,1,6,3,4,2,2,2,3,6,3,238
3,3,5,5,6,4,3,3,3,4,3,2,239
4,5,2,2,3,5,3,7,2,4,5,2,240
4,2,2,2,2,2,5,2,4,3,1,3,241
2,2,4,1,3,2,3,4,1,4,3,7,242
2,5,1,4,3,2,2,3,2,4,3,3,243
3,1,6,5,5,3,3,1,1,3,5,3,244
4,4,2,7,4,2,4,2,4,5,4,4,245
3,3,2,2,4,4,7,3,4,5,1,4,246
3,3,2,3,2,4,7,2,5,4,3,7,247
4,3,2,4,2,3,3,3,3,6,1,2,248
3,2,3,2,2,5,3,1,5,7,4,5,249
2,3,4,7,7,5,2,6,3,6,2,5,250
3,5,2,6,5,2,2,4,5,3,4,6,251
2,4,2,6,2,3,2,2,3,5,3,6,252
6,2,6,5,3,3,3,4,3,5,4,3,253
4,3,1,6,2,5,3,3,3,2,3,7,254
3,1,2,6,7,5,4,4,2,4,3,7,255
4,4,2,2,3,2,6,6,3,5,7,3,256
2,3,2,4,3,3,3,5,2,3,5,3,257
3,4,2,6,3,3,7,4,3,1,3,3,258
5,2,3,3,2,3,3,4,2,3,7,4,259
3,2,1,1,3,2,5,2,3,6,1,6,260
3,3,4,7,1,4,6,3,6,4,5,7,261
3,2,2,4,3,4,2,3,6,7,5,6,262
2,5,4,2,2,4,3,3,3,2,4,2,263
3,3,3,5,3,3,3,6,6,4,3,2,264
3,3,5,3,2,2,3,2,2,3,4,4,265
4,4,2,5,6,7,2,6,7,2,5,4,266
5,4,2,7,6,4,5,2,6,4,2,5,267
3,4,2,2,4,1,5,4,4,4,4,2,268
3,6,2,7,3,2,4,1,3,4,3,1,269
2,4,1,1,3,1,4,1,3,2,5,5,270
4,2,1,6,3,3,2,7,4,2,3,4,271
3,3,6,2,3,3,1,2,4,3,4,6,272
4,5,4,1,4,2,4,2,6,7,1,4,273
2,3,2,2,4,4,2,5,4,6,3,4,274
5,3,1,6,4,4,4,3,5,7,4,4,275
4,2,2,1,6,4,2,4,1,4,3,4,276
4,3,2,2,2,4,2,3,6,5,3,4,277
3,7,6,7,3,6,5,2,2,6,1,6,278
2,3,1,7,4,3,3,4,2,4,4,4,279
2,4,2,2,2,2,3,1,7,2,4,4,280
4,2,5,6,3,2,3,6,5,4,3,4,281
4,5,2,1,3,7,2,7,4,6,4,2,282
3,6,4,7,1,4,3,5,5,5,4,7,283
4,3,2,2,2,3,4,3,2,7,5,4,284
3,4,2,2,3,3,2,6,3,1,2,7,285
4,1,1,4,3,3,5,4,4,4,3,6,286
3,1,4,7,2,4,3,2,3,4,3,4,287
6,4,2,5,2,1,4,6,6,4,6,4,288
2,3,2,7,1,6,4,4,3,3,6,2,289
5,2,2,2,2,1,4,7,4,5,5,1,290
2,4,2,4,6,4,3,2,3,4,3,4,291
3,4,2,3,3,7,6,7,3,1,1,7,292
6,3,2,2,2,4,7,7,2,6,3,5,293
6,6,2,7,5,3,4,4,4,4,5,3,294
1,3,3,5,3,4,4,6,5,7,1,7,295
3,4,2,4,3,3,2,3,6,1,4,6,296
4,4,4,4,6,4,3,3,7,2,5,4,297
3,2,2,6,2,4,3,3,6,3,3,1,298
5,2,2,3,3,3,3,2,6,4,7,7,299
3,5,4,1,3,3,2,3,2,2,6,4,300
5,4,2,7,4,3,1,3,2,6,5,5,301
5,5,2,4,4,5,1,3,3,3,5,2,302
5,2,5,5,3,3,3,4,3,1,2,6,303
2,4,2,2,2,4,7,3,6,2,3,4,304
4,3,2,6,2,1,2,5,6,4,5,5,305
4,4,2,3,3,5,3,4,4,3,5,4,306
2,3,2,7,4,4,5,3,5,4,6,2,307
4,5,1,6,3,2,2,3,6,6,6,3,308
2,4,3,5,2,2,3,5,5,5,4,4,309
3,4,1,2,4,4,4,6,3,4,3,3,310
4,3,6,2,4,7,3,4,3,4,3,3,311
3,2,2,6,3,5,2,7,3,4,4,3,312
2,5,3,2,3,4,3,5,5,5,5,1,313
3,4,1,5,4,3,4,4,2,4,3,4,314
2,3,6,3,5,2,2,4,2,1,4,6,315
5,3,2,1,3,4,3,2,3,4,2,6,316
4,2,3,7,4,4,2,3,2,7,4,2,317
2,2,2,4,1,2,5,6,3,4,3,5,318
3,4,2,7,6,2,5,4,4,2,4,5,319
3,4,4,7,4,4,6,4,2,4,4,6,320
4,1,2,7,4,2,1,3,2,3,6,4,321
5,2,6,1,4,3,5,5,6,2,5,1,322
4,3,2,3,2,4,1,3,7,4,5,7,323
3,5,2,1,6,3,3,4,6,4,5,5,324
4,2,4,7,2,3,4,2,4,4,7,5,325
2,4,2,7,3,3,7,6,2,3,3,4,326
4,4,2,4,2,4,3,3,2,4,6,4,327
4,3,2,3,3,3,4,2,4,5,6,5,328
5,3,2,3,2,2,3,3,2,2,4,4,329
7,3,2,2,4,2,2,3,5,1,4,4,330
4,4,1,2,3,3,4,5,2,4,5,3,331
2,2,2,5,2,5,4,4,2,3,7,2,332
4,5,5,7,3,5,3,5,2,7,1,7,333
4,6,2,3,4,3,2,1,4,4,2,4,334
1,3,1,7,1,4,1,7,3,1,4,4,335
4,3,1,2,7,3,4,3,2,1,5,6,336
4,3,6,7,3,3,6,4,1,2,3,5,337
4,2,2,7,3,4,3,2,5,5,6,5,338
4,3,2,6,2,3,2,5,5,2,6,2,339
3,3,6,6,2,5,2,3,3,2,4,4,340
4,2,1,7,1,3,3,7,3,1,4,4,341
3,3,6,1,4,3,2,4,3,6,3,3,342
5,3,2,1,2,3,2,2,7,3,3,6,343
4,4,4,5,3,4,7,2,3,4,4,4,344
3,3,7,2,4,5,3,4,1,6,2,3,345
4,4,2,1,3,2,2,3,6,7,7,2,346
4,2,2,7,3,3,5,7,3,2,4,3,347
6,2,2,1,4,3,6,3,7,6,5,6,348
3,4,4,2,4,4,4,2,5,5,4,4,349
1,3,5,7,2,3,6,4,2,4,6,4,350
5,5,5,7,2,3,2,4,2,5,3,4,351
4,5,4,7,3,3,4,6,5,4,4,7,352
3,5,4,7,3,2,5,5,1,4,3,3,353
5,3,2,4,3,2,2,3,4,2,4,3,354
2,5,2,3,4,4,5,1,4,4,4,4,355
4,3,2,5,2,3,3,3,7,5,4,3,356
4,4,2,4,2,3,3,7,5,4,5,6,357
4,2,1,7,3,5,3,5,3,1,1,4,358
3,3,5,7,3,2,2,4,1,4,4,4,359
2,3,1,2,5,3,3,1,6,2,2,6,360
3,2,6,1,3,7,6,4,5,6,6,7,361
5,2,2,6,1,4,2,2,2,7,6,4,362
2,3,5,3,2,3,4,4,6,3,3,4,363
4,4,5,2,3,4,3,3,2,2,4,3,364
4,3,1,6,2,2,2,2,3,2,5,7,365
3,3,2,7,3,3,4,4,4,4,1,2,366
4,2,5,6,3,4,6,4,3,3,5,4,367
4,3,6,7,3,4,2,7,1,4,3,4,368
2,2,5,7,3,2,4,4,2,3,3,5,369
2,3,2,4,3,4,3,4,3,4,3,2,370
3,5,2,3,2,2,6,4,4,4,6,6,371
3,2,2,3,2,2,4,4,2,4,3,3,372
2,2,2,1,3,5,3,7,5,3,6,4,373
5,3,5,1,1,3,6,4,6,7,4,6,374
4,6,2,4,3,6,3,6,3,4,4,4,375
1,4,2,1,4,6,4,2,2,3,6,2,376
2,5,2,7,2,2,1,4,5,7,4,5,377
3,2,3,7,2,4,3,3,2,4,3,4,378
3,4,2,7,3,4,5,2,6,6,5,4,379
2,2,1,6,4,6,3,2,5,7,3,3,380
3,4,2,3,4,4,2,6,2,4,4,4,381
4,3,1,3,1,6,3,5,7,3,3,3,382
2,4,2,6,1,3,4,6,4,3,1,5,383
3,4,2,3,3,7,7,6,4,3,6,7,384
2,3,3,7,4,1,2,7,1,5,2,5,385
5,4,1,4,2,3,2,7,4,5,4,6,386
2,3,2,5,3,3,4,1,3,3,6,4,387
4,3,2,2,4,5,2,4,5,7,4,2,388
5,2,1,1,5,4,3,7,4,3,6,7,389
2,3,2,7,7,1,5,2,2,3,7,4,390
3,5,2,1,3,3,6,3,4,3,6,5,391
4,3,2,7,3,5,2,7,5,4,5,4,392
4,3,6,3,3,3,3,7,3,7,3,6,393
2,2,2,7,2,4,4,2,2,4,4,3,394
4,2,1,7,7,3,5,7,5,4,5,3,395
4,2,2,7,2,3,4,2,3,7,5,2,396
1,2,2,6,2,4,4,7,5,4,4,3,397
1,4,2,1,5,2,2,2,2,4,4,1,398
2,2,5,6,4,3,4,4,6,7,5,2,399
3,5,2,3,2,1,7,7,5,7,5,4,400
2,4,5,6,3,3,3,6,5,6,5,4,401
4,2,6,1,3,4,4,3,6,2,3,5,402
3,3,2,2,6,3,4,3,4,1,4,4,403
2,5,4,2,3,2,3,1,3,4,6,7,404
3,1,3,2,4,2,3,2,4,7,1,7,405
2,2,6,2,3,4,2,3,3,1,7,6,406
5,4,4,2,1,4,2,2,2,4,4,7,407
5,3,2,2,3,7,4,5,2,3,6,2,408
4,2,2,1,3,3,4,3,6,4,6,7,409
4,3,4,6,3,3,7,5,5,6,3,4,410
5,3,3,4,4,5,3,4,7,1,3,6,411
4,4,2,6,2,4,5,4,5,5,3,5,412
3,3,2,7,4,4,2,4,7,7,6,2,413
2,3,2,3,3,6,1,2,2,7,3,7,414
3,4,1,1,6,3,2,4,3,6,3,3,415
7,2,2,1,3,3,3,4,3,4,5,2,416
5,5,5,7,3,3,7,4,5,6,4,4,417
3,4,2,6,2,4,5,2,3,6,4,3,418
2,3,2,1,3,3,3,2,2,5,7,4,419
2,3,5,2,4,3,4,7,2,4,3,2,420
2,3,5,5,2,5,4,2,6,5,3,3,421
2,4,2,4,2,4,2,2,3,4,5,4,422
5,5,4,4,2,4,4,1,2,5,4,3,423
2,3,6,6,6,3,2,5,4,7,7,6,424
2,5,1,2,3,2,3,6,2,4,6,7,425
2,4,1,2,3,3,3,6,2,2,4,3,426
3,4,3,2,6,3,3,7,2,5,3,3,427
3,4,2,7,3,3,4,2,3,3,1,6,428
3,5,2,1,3,2,3,2,2,5,3,4,429
3,4,2,1,4,3,5,2,5,3,5,3,430
3,4,5,5,1,5,6,6,4,1,2,3,431
5,4,1,7,2,3,3,7,2,3,4,4,432
5,3,2,6,3,3,4,1,1,4,2,6,433
1,5,1,7,4,3,4,2,2,5,5,4,434
3,4,4,2,2,3,3,2,4,2,6,5,435
4,4,6,1,5,5,2,2,1,3,3,4,436
1,4,2,7,6,3,4,2,3,7,5,2,437
3,3,2,5,1,3,3,2,3,2,3,4,438
4,2,2,3,4,6,6,5,2,7,6,2,439
3,5,6,7,3,4,4,5,7,5,5,6,440
5,2,2,3,2,7,1,5,3,6,6,4,441
3,3,2,7,4,5,4,7,2,6,5,4,442
3,3,2,6,5,6,4,7,5,6,6,6,443
2,4,2,2,3,6,3,1,2,7,4,7,444
3,5,4,6,4,3,3,5,6,5,3,2,445
6,4,4,1,3,4,2,4,2,5,4,3,446
4,4,2,1,7,3,2,5,3,6,6,4,447
4,3,4,4,3,7,2,4,3,5,5,7,448
4,4,1,5,3,6,3,2,3,4,5,2,449
1,3,3,7,4,4,3,7,2,5,5,7,450
4,2,3,6,3,3,1,7,4,4,3,4,451
2,2,1,7,3,3,2,3,3,5,5,6,452
3,4,2,3,4,4,5,5,3,5,7,6,453
2,4,6,4,2,2,3,3,4,5,3,6,454
1,4,2,6,1,3,5,3,6,5,4,2,455
4,5,6,6,3,3,4,3,6,4,6,5,456
3,3,4,3,2,3,4,4,2,3,4,7,457
3,3,2,7,3,1,4,2,6,3,7,6,458
3,4,2,3,3,3,3,3,1,1,3,4,459
3,2,3,7,2,4,4,4,5,5,5,5,460
4,3,4,6,3,3,3,6,3,4,5,4,461
4,3,5,5,4,4,1,4,4,7,4,4,462
1,1,2,7,3,3,3,6,2,5,4,4,463
4,3,1,3,2,3,2,5,3,2,6,4,464
1,3,2,3,4,4,1,2,3,4,5,6,465
4,3,4,6,4,5,3,2,4,4,2,2,466
3,3,1,4,2,4,7,5,5,3,4,2,467
4,3,4,7,3,3,4,4,6,5,5,5,468
2,2,2,7,3,5,2,3,5,7,4,5,469
3,3,2,1,5,3,4,5,3,4,7,4,470
3,3,2,7,3,3,5,3,3,3,3,1,471
4,2,6,3,2,3,3,3,4,5,2,3,472
5,4,1,7,3,3,2,2,7,2,4,4,473
3,2,3,6,2,4,4,3,2,6,4,3,474
3,2,3,1,3,2,4,7,4,7,4,4,475
4,4,4,1,5,1,5,2,4,2,4,6,476
4,5,1,1,3,5,5,3,2,2,4,7,477
3,3,1,4,4,3,2,2,4,5,5,7,478
3,3,1,4,4,1,4,6,3,3,4,6,479
3,3,2,2,3,1,2,4,2,4,4,2,480
4,4,2,7,4,1,3,3,2,5,5,3,481
3,2,2,1,2,3,6,2,7,1,4,5,482
4,5,3,4,2,4,4,4,2,2,4,6,483
4,4,2,4,2,3,4,6,6,4,4,3,484
4,4,3,3,5,2,2,3,2,5,5,4,485
3,4,2,5,3,3,3,3,6,3,3,2,486
4,3,2,7,3,2,3,2,6,2,4,5,487
3,4,1,6,3,5,2,5,3,4,7,3,488
3,4,2,5,2,2,2,4,2,3,4,6,489
3,3,5,1,4,3,2,6,3,5,7,7,490
4,2,2,3,1,3,5,1,3,5,6,6,491
4,3,5,5,5,4,2,3,2,2,4,4,492
6,2,1,3,4,4,4,3,2,4,4,3,493
3,4,6,7,4,2,3,3,6,2,4,3,494
5,4,3,5,3,2,5,2,3,4,1,4,495
4,4,2,7,1,4,4,2,2,3,3,3,496
2,5,2,7,3,3,4,2,3,7,6,1,497
5,6,1,6,3,3,2,7,5,2,4,4,498
3,2,2,3,3,3,3,5,6,7,4,4,499
1,5,2,1,2,2,4,3,4,6,6,4,500
4,2,2,2,3,6,4,4,4,5,4,4,501
2,4,2,3,3,2,3,2,4,3,4,3,502
3,2,3,4,2,3,6,7,2,5,5,1,503
3,3,5,1,3,3,3,3,2,4,3,3,504
4,4,3,7,2,4,3,6,4,6,6,2,505
2,3,2,7,3,5,1,4,2,6,6,7,506
5,3,2,5,3,4,3,4,1,7,7,4,507
2,4,3,1,2,4,4,6,6,1,4,2,508
3,5,2,1,2,3,1,2,3,7,4,6,509
4,4,5,1,3,3,3,2,3,5,5,4,510
4,2,1,7,5,4,4,4,7,5,3,4,511
3,5,5,7,3,3,3,1,3,3,4,4,512
4,4,2,5,4,3,5,3,6,4,4,7,513
4,3,3,4,4,3,2,3,3,2,5,3,514
4,3,1,6,2,3,2,6,3,4,2,6,515
3,3,2,2,3,4,5,3,2,5,7,5,516
1,1,2,2,5,3,3,4,2,4,6,4,517
4,2,4,6,4,3,4,4,5,3,1,5,518
3,2,4,4,6,4,3,2,3,5,3,3,519
3,4,1,6,4,3,2,6,2,4,1,3,520
4,2,2,7,2,3,3,4,4,7,3,3,521
3,6,3,7,2,2,5,3,4,4,3,7,522
3,2,3,5,4,4,4,3,5,3,5,3,523
4,3,1,3,1,4,7,4,4,4,4,5,524
3,6,2,3,3,3,2,4,4,3,2,4,525
3,5,2,3,1,3,3,7,4,2,4,6,526
