Eduardo Frei Montalva,Salvador Allende,Augusto Pinochet,Patricio Aylwin,Eduardo Frei Ruiz-Tagle,Ricardo Lagos,Michelle Bachelet (2006-2010),Sebastián Piñera (2010-2014),Michelle Bachelet (2014-2018),Sebastián Piñera (2018-2022),Gabriel Boric,ID
4,1,1,4,3,3,3,4,2,3,1,117
4,1,1,4,3,3,3,4,2,3,1,118
4,1,1,4,3,3,3,4,2,3,1,119
4,1,1,4,3,3,3,4,2,3,1,120
4,1,1,4,3,3,3,4,2,3,1,121
4,1,1,4,3,3,3,4,2,3,1,122
4,1,1,4,3,3,3,4,2,3,1,123
4,1,1,4,3,3,3,4,2,3,1,124
4,1,1,4,3,3,3,4,2,3,1,125
4,1,1,4,3,3,3,4,2,3,1,126
4,1,1,4,3,3,3,4,2,3,1,127
4,1,1,4,3,3,3,4,2,3,1,128
4,1,1,4,3,3,3,4,2,3,1,129
4,1,1,4,3,4,3,4,2,3,1,130
4,1,1,4,3,4,3,4,2,3,1,131
4,1,1,4,3,4,3,4,2,3,1,132
4,1,1,4,3,4,3,4,2,3,1,133
4,1,1,4,3,4,3,4,2,3,1,134
4,1,1,4,3,4,3,4,2,3,1,135
4,1,1,4,3,4,3,4,2,3,1,136
4,1,1,4,3,4,3,4,2,3,1,137
4,1,1,4,3,4,3,4,2,3,1,138
4,1,1,4,3,4,3,4,2,3,1,139
4,1,1,4,3,4,3,4,2,3,1,140
4,1,1,4,4,4,3,4,2,3,1,141
4,1,1,4,4,4,3,4,2,3,1,142
4,1,1,4,4,4,3,4,2,3,1,143
4,1,1,4,4,4,3,4,2,3,1,144
4,1,1,4,4,4,3,4,2,3,1,145
4,1,1,4,4,4,3,4,2,3,1,146
4,1,1,4,4,4,3,4,2,3,1,147
4,1,1,4,4,4,3,4,2,3,1,148
4,1,1,4,4,4,3,4,2,3,1,149
4,1,1,4,4,4,3,4,2,3,1,150
4,1,1,4,4,4,3,4,2,3,1,151
4,1,1,4,4,4,3,4,2,3,1,152
4,1,1,4,4,4,3,4,2,3,1,153
4,1,1,4,4,4,3,4,2,3,1,154
4,1,1,4,4,4,3,4,2,3,1,155
4,1,1,4,4,4,3,4,2,3,1,156
4,1,1,4,4,4,3,4,2,3,1,157
4,1,1,4,4,4,3,4,2,3,1,158
4,1,1,4,4,4,3,4,2,3,1,159
4,1,1,4,4,4,3,4,2,3,1,160
4,1,1,4,4,4,3,4,2,3,1,161
4,1,1,4,4,4,3,4,2,3,1,162
4,1,1,4,4,4,3,4,2,3,1,163
4,1,1,4,4,4,3,4,2,3,1,164
4,1,1,4,4,4,3,4,2,3,1,165
4,1,1,4,4,4,3,4,2,3,1,166
4,1,1,4,4,4,3,4,2,3,1,167
4,1,1,4,4,4,3,4,2,3,1,168
4,1,1,4,4,4,3,4,2,3,1,169
4,1,1,4,4,4,3,4,2,3,1,170
4,1,1,4,4,4,3,4,2,3,1,171
4,1,1,4,4,4,3,4,2,3,1,172
4,1,1,4,4,4,3,4,2,3,1,173
4,1,1,4,4,4,3,4,2,3,1,174
4,1,1,4,4,4,3,4,2,3,1,175
4,1,1,4,4,4,3,4,2,3,1,176
4,1,1,4,4,4,3,4,2,3,1,177
4,1,1,4,4,4,4,4,2,3,1,178
4,1,1,4,4,4,4,4,2,3,1,179
4,1,1,4,4,4,4,4,2,3,1,180
4,1,1,4,4,4,4,4,3,3,1,181
4,1,1,4,4,4,4,4,3,3,1,182
4,1,1,4,4,4,4,4,3,3,1,183
4,1,1,4,4,4,4,4,3,3,1,184
4,1,1,4,4,4,4,4,3,3,1,185
4,1,1,4,4,4,4,4,3,3,1,186
4,1,1,4,4,4,4,4,3,3,1,187
4,1,1,4,4,4,4,4,3,3,1,188
4,1,1,4,4,4,4,4,3,3,1,189
4,1,1,4,4,4,4,4,3,3,1,190
4,1,1,4,4,4,4,4,3,3,1,191
4,1,1,4,4,4,4,4,3,3,1,192
4,1,1,4,4,4,4,4,3,3,1,193
4,1,1,4,4,4,4,4,3,3,1,194
4,1,1,4,4,4,4,4,3,3,1,195
4,1,1,4,4,4,4,4,3,3,1,196
4,1,1,4,4,4,4,4,3,3,1,197
4,1,1,4,4,4,4,4,3,3,1,198
4,1,1,4,4,4,4,4,3,3,1,199
4,1,1,4,4,4,4,4,3,3,1,200
4,1,1,4,4,4,4,4,3,3,1,201
4,1,1,4,4,4,4,4,3,3,1,202
4,1,1,4,4,4,4,4,3,3,1,203
4,1,1,4,4,4,4,4,3,3,1,204
4,1,1,4,4,4,4,4,3,4,2,205
4,1,1,4,4,4,4,4,3,4,2,206
4,1,1,4,4,4,4,4,3,4,2,207
4,1,1,4,4,4,4,4,3,4,2,208
4,1,1,4,4,4,4,4,3,4,2,209
4,1,1,4,4,4,4,4,3,4,2,210
4,1,1,4,4,4,4,5,3,4,2,211
4,1,1,5,4,4,4,5,3,4,2,212
4,1,1,5,4,4,4,5,3,4,2,213
4,1,1,5,4,4,4,5,3,4,2,214
4,1,1,5,4,4,4,5,3,4,2,215
4,1,1,5,4,4,4,5,3,4,2,216
4,1,2,5,4,4,4,5,3,4,2,217
4,1,2,5,4,4,4,5,3,4,2,218
4,1,2,5,4,4,4,5,3,4,2,219
4,1,2,5,4,4,4,5,3,4,2,220
4,1,2,5,4,4,4,5,3,4,2,221
4,1,2,5,4,4,4,5,3,4,2,222
4,1,2,5,4,4,4,5,3,4,2,223
4,1,2,5,4,4,4,5,3,4,2,224
4,1,2,5,4,4,4,5,3,4,2,225
4,1,2,5,4,4,4,5,3,4,2,226
4,1,2,5,4,4,4,5,3,4,2,227
4,1,2,5,4,4,4,5,3,4,2,228
4,1,2,5,4,4,4,5,3,4,2,229
4,1,2,5,4,4,4,5,3,4,2,230
4,1,2,5,4,4,4,5,3,4,2,231
4,1,2,5,4,4,4,5,3,4,2,232
4,1,2,5,4,4,4,5,3,4,2,233
4,1,2,5,4,4,4,5,3,4,2,234
4,1,2,5,4,4,4,5,3,4,2,235
4,1,2,5,4,4,4,5,3,4,2,236
4,1,2,5,4,4,4,5,3,4,2,237
4,1,2,5,4,4,4,5,3,4,2,238
4,1,2,5,4,4,4,5,3,4,2,239
4,1,2,5,4,4,4,5,3,4,2,240
4,1,2,5,4,4,4,5,3,4,2,241
4,1,2,5,4,4,4,5,3,4,2,242
4,1,2,5,4,4,4,5,3,4,2,243
4,1,2,5,4,4,4,5,3,4,2,244
4,1,2,5,4,4,4,5,3,4,2,245
4,1,2,5,4,4,4,5,3,4,2,246
4,1,2,5,4,4,4,5,3,4,2,247
4,1,2,5,4,5,4,5,3,4,2,248
4,1,2,5,4,5,4,5,3,4,2,249
4,1,2,5,4,5,4,5,3,4,2,250
4,1,2,5,4,5,4,5,3,4,2,251
4,1,2,5,4,5,4,5,3,4,2,252
5,1,2,5,4,5,4,5,3,4,2,253
5,1,2,5,4,5,4,5,3,4,2,254
5,1,2,5,4,5,4,5,3,4,2,255
5,1,2,5,4,5,4,5,3,4,2,256
5,1,2,5,4,5,4,5,3,4,2,257
5,1,2,5,4,5,4,5,3,4,2,258
5,2,2,5,4,5,4,5,3,4,2,259
5,2,2,5,4,5,4,5,3,4,2,260
5,2,2,5,4,5,4,5,3,4,2,261
5,2,2,5,4,5,4,5,3,4,2,262
5,2,2,5,4,5,4,5,3,4,2,263
5,2,2,5,4,5,4,5,3,4,2,264
5,2,3,5,4,5,4,5,3,4,2,265
5,2,3,5,4,5,4,5,3,4,2,266
5,2,3,5,4,5,5,5,3,4,2,267
5,2,3,5,4,5,5,5,3,4,2,268
5,2,3,5,4,5,5,5,3,4,2,269
5,2,3,5,4,5,5,5,3,4,2,270
5,2,3,5,4,5,5,5,3,4,2,271
5,2,3,5,4,5,5,5,3,4,2,272
5,2,3,5,4,5,5,5,3,4,2,273
5,2,3,5,4,5,5,5,3,4,2,274
5,2,3,5,4,5,5,5,3,4,2,275
5,2,3,5,4,5,5,5,3,4,2,276
5,2,3,5,4,5,5,5,3,4,3,277
5,2,3,5,4,5,5,5,3,4,3,278
5,2,3,5,4,5,5,5,3,4,3,279
5,2,3,5,4,5,5,5,3,4,3,280
5,2,3,5,4,5,5,5,3,4,3,281
5,2,3,5,4,5,5,5,3,4,3,282
5,2,3,5,4,5,5,5,3,4,3,283
5,2,3,5,4,5,5,5,3,4,3,284
5,2,3,5,4,5,5,5,3,4,3,285
5,2,3,5,4,5,5,5,3,4,3,286
5,2,3,5,4,5,5,5,3,4,3,287
5,2,3,5,5,5,5,5,3,4,3,288
5,2,3,5,5,5,5,5,4,4,3,289
5,2,3,5,5,5,5,5,4,4,3,290
5,2,3,5,5,5,5,5,4,4,3,291
5,2,3,5,5,5,5,5,4,4,3,292
5,2,3,5,5,5,5,5,4,4,3,293
5,2,3,5,5,5,5,5,4,4,3,294
5,2,3,5,5,5,5,5,4,4,3,295
5,2,3,5,5,5,5,5,4,4,3,296
5,2,3,5,5,5,5,5,4,4,3,297
5,2,3,5,5,5,5,5,4,4,3,298
5,2,3,5,5,5,5,5,4,4,3,299
5,2,3,5,5,5,5,5,4,4,3,300
5,3,3,5,5,5,5,5,4,4,3,301
5,3,3,5,5,5,5,5,4,4,3,302
5,3,3,5,5,5,5,5,4,4,3,303
5,3,3,5,5,5,5,5,4,4,3,304
5,3,3,5,5,5,5,5,4,4,3,305
5,3,3,5,5,5,5,5,4,4,3,306
5,3,3,5,5,5,5,5,4,4,3,307
5,3,3,5,5,5,5,5,4,4,3,308
5,3,3,5,5,5,5,5,4,4,3,309
5,3,3,5,5,5,5,5,4,4,3,310
5,3,3,5,5,5,5,5,4,4,3,311
5,3,3,5,5,5,5,5,4,4,3,312
5,3,4,5,5,5,5,5,4,4,3,313
5,3,4,5,5,5,5,5,4,4,3,314
5,3,4,5,5,5,5,5,4,4,3,315
5,3,4,5,5,5,5,5,4,4,3,316
5,3,4,5,5,5,5,5,4,4,3,317
5,3,4,5,5,5,5,5,4,4,3,318
5,3,4,5,5,5,5,5,4,4,3,319
5,3,4,5,5,5,5,5,4,4,3,320
5,3,4,5,5,5,5,5,4,4,3,321
5,3,4,5,5,5,5,5,4,4,3,322
5,3,4,5,5,5,5,5,4,4,3,323
5,3,4,5,5,5,5,5,4,4,3,324
5,3,4,5,5,5,5,5,4,4,3,325
5,3,4,5,5,5,5,5,4,4,3,326
5,3,4,5,5,5,5,5,4,4,3,327
5,3,4,5,5,5,5,5,4,4,3,328
5,3,4,5,5,5,5,5,4,4,3,329
5,3,4,5,5,5,5,5,4,4,3,330
5,3,4,5,5,5,5,5,4,4,4,331
5,3,4,5,5,5,5,5,4,4,4,332
5,3,4,5,5,5,5,5,4,4,4,333
5,3,4,5,5,5,5,5,4,4,4,334
5,3,4,5,5,5,5,5,4,4,4,335
5,3,4,5,5,5,5,5,4,4,4,336
5,3,4,5,5,5,5,5,4,4,4,337
5,3,4,5,5,5,5,5,4,4,4,338
5,3,4,5,5,5,5,5,4,4,4,339
5,3,4,5,5,5,5,5,4,4,4,340
5,3,4,5,5,5,5,5,4,4,4,341
5,3,4,5,5,5,5,5,4,4,4,342
5,3,4,5,5,5,5,5,4,4,4,343
5,3,4,5,5,5,5,5,4,4,4,344
5,3,4,5,5,5,5,5,4,4,4,345
5,3,4,5,5,5,5,5,4,4,4,346
5,3,4,5,5,5,5,5,4,4,4,347
5,3,4,5,5,5,5,5,4,4,4,348
5,3,4,5,5,5,5,5,4,5,4,349
5,3,4,5,5,5,5,5,4,5,4,350
5,3,4,5,5,5,5,5,4,5,4,351
5,3,4,5,5,5,5,5,4,5,4,352
5,3,4,5,5,5,5,5,4,5,4,353
5,3,4,5,5,5,5,5,4,5,4,354
5,4,4,5,5,5,5,5,4,5,4,355
5,4,4,5,5,5,5,5,4,5,4,356
5,4,4,5,5,5,5,5,4,5,4,357
5,4,4,5,5,5,5,5,4,5,4,358
5,4,4,5,5,5,5,5,4,5,4,359
5,4,4,5,5,5,5,5,4,5,4,360
5,4,5,5,5,5,5,5,4,5,4,361
5,4,5,5,5,5,5,5,4,5,4,362
5,4,5,5,5,5,5,5,4,5,4,363
5,4,5,5,5,5,5,5,4,5,4,364
5,4,5,5,5,5,5,5,4,5,4,365
5,4,5,5,5,5,5,5,4,5,4,366
5,4,5,5,5,5,5,5,4,5,4,367
5,4,5,5,5,5,5,6,4,5,4,368
5,4,5,5,5,5,5,6,4,5,4,369
5,4,5,5,5,5,5,6,4,5,4,370
5,4,5,5,5,5,5,6,4,5,4,371
5,4,5,5,5,5,5,6,4,5,4,372
5,4,5,5,5,5,5,6,5,5,4,373
5,4,5,5,5,5,5,6,5,5,4,374
5,4,5,5,5,5,5,6,5,5,4,375
5,4,5,5,5,5,5,6,5,5,4,376
5,4,5,5,5,5,5,6,5,5,4,377
5,4,5,5,5,5,5,6,5,5,4,378
5,4,5,5,5,5,5,6,5,5,4,379
5,4,5,5,5,5,5,6,5,5,4,380
5,4,5,5,5,5,5,6,5,5,4,381
5,4,5,5,5,5,5,6,5,5,4,382
5,4,5,5,5,5,5,6,5,5,4,383
5,4,5,5,5,5,5,6,5,5,4,384
5,4,5,5,5,5,5,6,5,5,4,385
5,4,5,5,5,5,5,6,5,5,4,386
5,4,5,5,5,5,5,6,5,5,4,387
5,4,5,5,5,5,5,6,5,5,4,388
5,4,5,5,5,5,5,6,5,5,4,389
5,4,5,5,5,5,5,6,5,5,4,390
5,4,5,5,5,5,5,6,5,5,5,391
5,4,5,5,5,5,5,6,5,5,5,392
5,4,5,5,5,5,5,6,5,5,5,393
5,4,5,5,5,5,5,6,5,5,5,394
5,4,5,5,5,5,5,6,5,5,5,395
5,4,5,5,5,5,5,6,5,5,5,396
5,4,5,5,5,5,6,6,5,5,5,397
5,4,5,5,5,5,6,6,5,5,5,398
5,4,5,5,5,5,6,6,5,5,5,399
5,4,5,5,5,5,6,6,5,5,5,400
5,4,5,5,5,5,6,6,5,5,5,401
5,4,5,5,5,5,6,6,5,5,5,402
5,4,5,5,5,5,6,6,5,5,5,403
5,4,5,5,5,5,6,6,5,5,5,404
5,4,5,6,5,5,6,6,5,5,5,405
5,4,5,6,5,5,6,6,5,5,5,406
5,4,5,6,5,5,6,6,5,5,5,407
5,4,5,6,5,5,6,6,5,5,5,408
5,4,5,6,5,5,6,6,5,5,5,409
5,4,5,6,5,5,6,6,5,5,5,410
5,4,5,6,5,5,6,6,5,5,5,411
5,4,5,6,5,5,6,6,5,5,5,412
5,4,5,6,5,5,6,6,5,5,5,413
5,4,5,6,5,5,6,6,5,5,5,414
5,4,5,6,5,5,6,6,5,5,5,415
5,4,5,6,5,5,6,6,5,5,5,416
5,4,5,6,5,5,6,6,5,5,5,417
5,4,5,6,5,5,6,6,5,5,5,418
5,4,5,6,5,5,6,6,5,5,5,419
5,4,5,6,5,5,6,6,5,5,5,420
5,4,5,6,5,5,6,6,5,5,5,421
5,4,5,6,5,5,6,6,5,5,5,422
5,4,5,6,5,5,6,6,5,5,5,423
5,4,5,6,5,5,6,6,5,5,5,424
5,4,5,6,5,5,6,6,5,5,5,425
5,4,5,6,5,5,6,6,5,5,5,426
5,4,5,6,5,5,6,6,5,5,5,427
5,4,5,6,5,5,6,6,5,5,5,428
5,4,5,6,5,5,6,6,5,5,5,429
5,4,5,6,5,5,6,6,5,5,5,430
5,4,5,6,5,5,6,6,5,5,5,431
5,4,5,6,5,6,6,6,5,5,5,432
5,4,6,6,5,6,6,6,5,5,5,433
5,4,6,6,5,6,6,6,5,5,5,434
5,4,6,6,5,6,6,6,5,5,5,435
5,4,6,6,5,6,6,6,5,5,5,436
5,4,6,6,5,6,6,6,5,5,5,437
5,4,6,6,5,6,6,6,5,5,5,438
5,5,6,6,5,6,6,6,5,5,5,439
5,5,6,6,5,6,6,6,5,5,5,440
5,5,6,6,5,6,6,6,5,5,5,441
5,5,6,6,5,6,6,6,5,5,5,442
5,5,6,6,5,6,6,6,5,5,5,443
5,5,6,6,5,6,6,6,5,5,5,444
6,5,6,6,5,6,6,6,5,5,5,445
6,5,6,6,5,6,6,6,5,5,5,446
6,5,6,6,5,6,6,6,5,5,5,447
6,5,6,6,5,6,6,6,5,5,5,448
6,5,6,6,5,6,6,6,5,5,5,449
6,5,6,6,5,6,6,6,5,5,5,450
6,5,6,6,5,6,6,6,5,5,5,451
6,5,6,6,5,6,6,6,5,5,5,452
6,5,6,6,5,6,6,6,5,5,5,453
6,5,6,6,5,6,6,6,5,5,5,454
6,5,6,6,5,6,6,6,5,5,5,455
6,5,6,6,5,6,6,6,5,5,5,456
6,5,6,6,5,6,6,6,5,5,5,457
6,5,6,6,5,6,6,6,5,5,5,458
6,5,6,6,5,6,6,6,5,5,5,459
6,5,6,6,5,6,6,6,5,5,5,460
6,5,6,6,5,6,6,6,5,5,5,461
6,5,6,6,5,6,6,6,5,5,5,462
6,5,6,6,5,6,6,6,5,5,5,463
6,5,6,6,5,6,6,6,5,5,5,464
6,5,6,6,5,6,6,6,5,5,5,465
6,5,6,6,5,6,6,6,5,5,5,466
6,5,6,6,5,6,6,6,5,5,5,467
6,5,6,6,5,6,6,6,5,5,5,468
6,5,6,6,5,6,6,6,5,5,5,469
6,5,6,6,5,6,6,6,5,5,5,470
6,5,6,6,5,6,6,6,5,5,5,471
6,5,6,6,5,6,6,6,5,5,5,472
6,5,6,6,5,6,6,6,5,5,5,473
6,5,6,6,5,6,6,6,5,5,5,474
6,5,6,6,5,6,6,6,5,5,5,475
6,5,6,6,5,6,6,6,5,5,5,476
6,5,6,6,5,6,6,6,5,5,5,477
6,5,6,6,5,6,6,6,5,5,5,478
6,5,6,6,5,6,6,6,5,5,5,479
6,5,6,6,5,6,6,6,5,5,5,480
6,5,6,6,5,6,6,6,5,6,5,481
6,5,6,6,5,6,6,6,5,6,5,482
6,5,6,6,5,6,6,6,5,6,5,483
6,5,6,6,5,6,6,6,5,6,5,484
6,5,6,6,5,6,6,6,5,6,5,485
6,5,6,6,5,6,6,6,5,6,5,486
6,5,6,6,5,6,6,6,6,6,5,487
6,5,6,6,5,6,6,6,6,6,5,488
6,5,6,6,5,6,6,6,6,6,5,489
6,5,6,6,5,6,6,6,6,6,5,490
6,5,6,6,5,6,6,6,6,6,5,491
6,5,6,6,5,6,6,6,6,6,5,492
6,5,6,6,5,6,6,6,6,6,5,493
6,5,6,6,5,6,6,6,6,6,5,494
6,5,6,6,5,6,6,6,6,6,5,495
6,5,6,6,5,6,6,6,6,6,5,496
6,5,6,6,5,6,6,6,6,6,5,497
6,5,6,6,5,6,6,6,6,6,5,498
6,5,6,6,6,6,6,6,6,6,6,499
6,5,6,6,6,6,6,6,6,6,6,500
6,5,6,6,6,6,6,6,6,6,6,501
6,5,6,6,6,6,6,6,6,6,6,502
6,5,6,6,6,6,6,6,6,6,6,503
6,5,6,6,6,6,6,6,6,6,6,504
6,5,6,6,6,6,6,6,6,6,6,505
6,5,6,6,6,6,6,6,6,6,6,506
6,5,6,6,6,6,6,6,6,6,6,507
6,5,6,6,6,6,6,6,6,6,6,508
6,5,6,6,6,6,6,6,6,6,6,509
6,5,6,6,6,6,6,6,6,6,6,510
6,5,7,6,6,6,6,6,6,6,6,511
6,5,7,6,6,6,6,6,6,6,6,512
6,5,7,6,6,6,6,6,6,6,6,513
6,5,7,6,6,6,6,6,6,6,6,514
6,5,7,6,6,6,6,6,6,6,6,515
6,5,7,6,6,6,6,6,6,6,6,516
6,6,7,6,6,6,6,6,6,6,6,517
6,6,7,6,6,6,6,6,6,6,6,518
6,6,7,6,6,6,6,6,6,6,6,519
6,6,7,6,6,6,6,6,6,6,6,520
6,6,7,6,6,6,6,6,6,6,6,521
6,6,7,6,6,6,6,6,6,6,6,522
6,6,7,6,6,6,6,6,6,6,6,523
6,6,7,6,6,6,6,6,6,6,6,524
6,6,7,6,6,6,6,7,6,6,6,525
6,6,7,6,6,6,6,7,6,6,6,526
6,6,7,6,6,6,6,7,6,6,6,527
6,6,7,6,6,6,6,7,6,6,6,528
6,6,7,6,6,6,6,7,6,6,6,529
6,6,7,6,6,6,6,7,6,6,6,530
6,6,7,6,6,6,6,7,6,6,6,531
6,6,7,6,6,6,6,7,6,6,6,532
6,6,7,6,6,6,7,7,6,6,6,533
6,6,7,6,6,6,7,7,6,6,6,534
6,6,7,6,6,6,7,7,6,6,6,535
6,6,7,6,6,6,7,7,6,6,6,536
6,6,7,6,6,6,7,7,6,6,6,537
6,6,7,6,6,6,7,7,6,6,6,538
6,6,7,6,6,6,7,7,6,6,6,539
6,6,7,6,6,6,7,7,6,6,6,540
6,6,7,6,6,6,7,7,6,6,6,541
6,6,7,6,6,6,7,7,6,6,6,542
6,6,7,6,6,6,7,7,6,6,6,543
6,6,7,6,6,6,7,7,6,6,6,544
6,6,7,6,6,6,7,7,6,6,6,545
6,6,7,6,6,6,7,7,6,6,6,546
6,6,7,6,6,6,7,7,6,6,6,547
6,6,7,6,6,6,7,7,6,6,6,548
6,6,7,6,6,6,7,7,6,6,6,549
6,6,7,7,6,6,7,7,6,6,6,550
6,6,7,7,6,6,7,7,6,6,6,551
6,6,7,7,6,6,7,7,6,6,6,552
6,6,7,7,6,6,7,7,6,6,6,553
6,6,7,7,6,6,7,7,6,6,6,554
6,6,7,7,6,6,7,7,6,6,6,555
6,6,7,7,6,6,7,7,6,6,6,556
6,6,7,7,6,6,7,7,6,6,6,557
6,6,7,7,6,6,7,7,6,6,6,558
6,6,7,7,6,6,7,7,6,7,6,559
6,6,7,7,6,6,7,7,6,7,6,560
6,6,7,7,6,6,7,7,6,7,6,561
6,6,7,7,6,6,7,7,6,7,6,562
6,6,7,7,6,6,7,7,6,7,6,563
6,6,7,7,6,6,7,7,6,7,6,564
6,6,7,7,6,6,7,7,6,7,6,565
6,6,7,7,6,6,7,7,6,7,6,566
6,6,7,7,6,6,7,7,6,7,6,567
6,6,7,7,6,7,7,7,6,7,6,568
6,6,7,7,6,7,7,7,6,7,6,569
6,6,7,7,6,7,7,7,6,7,6,570
7,7,7,7,6,7,7,7,7,7,6,571
